,comments,score
31,真的很棒，比起红米强多了，没有网友说的绿屏和外观瑕疵情况，根本不用担心不是在官网买，京东还是值得信赖的，22日拍下时提示最晚25号发货，果真25号发货，没有客服说的29号那么晚。手机运行很流畅，5G信号很强。不怎么玩游戏，掉电没那么快，充电极速，半个多小时，具体没算过，充电头真是超大。系统还是老版本的，一开机就提示更新，下部更新体验一下新的原系统。,1
32,都说三星屏好？但白天看抖音为什么不清楚吗？没有别的品牌那么明亮！,0
33,华手机真的很不错，简直是国货之光YYDS，现在很多型号都是缺货的状态，因为太火爆了，之前给爸爸?买过这个，他很喜欢?的,1
34,关注这款手机很久了，也是朋友推荐的，上手之后果然名不虚传，外观没得说，总之就是很棒了??,1
35,刚买三天，不说打游戏了QQ发个信息都卡什么垃圾手机，而且包装一个角还陷进去了，唉,0
36,超级好的一款手机，爱了爱了。从华为换iQOO感觉也很顺手，真的超爱这个果里果气的iQOO。强烈推荐大家购买！耗电也不快，不打游戏正常玩一天只要充一次电。充电只要20分钟完全能充满，充电的时候会有点发热，但是完全能接受，毕竟充电这么快。大家给我冲！买它买它！！,1
37,使用第四天过来评论，整体手机体验一般，塑料感强，出厂配的原厂膜才第四天开始有划痕了，还是大面积，我发誓是正常使用，我第一次见一个手机的原厂膜这么**，好意思吗，卖个几千块钱的手机，出厂膜连随便9.9买的手机膜都如，细节决定成败，这波购物我觉得体验很差！,0
38,下载了一个和平精英就自动重启啦，我这是踩到雷啦？,0
39,外形外观：很喜欢iqoo的盒子，黑黄造型，显得青春活力。\n运行速度：玩游戏非常舒服，特制的游戏模式，玩游戏高光时刻还有语音播报，很爽。\n\n其他特色：主要用来玩游戏的，其他特色不太关注，但充电还是影像深刻的，半个小时就能充满。,1
40,手机用了两天了，内存够大，运行非常流畅。屏幕清晰度高，用起来很顺滑。超级快充，充电速度很快。性价比不错。唯一吐槽的地方，没有呼吸灯，得适应一下，这是设计问题。,1
41,很差很差，用了一个月出现蓝屏，不给退货，千万不要买！,0
42,刚刚收到就降价200多，不满意,0
43,买后悔，拍照鲜艳模式照片会瞬间变黑，和客服反馈，说是正常现象，无语,0
44,之前用的苹果8P趁双十一换了这款iqoo8，本来想买iqoo8P的但相对来说还是这款性价比高，用惯了直面屏好多博主都推荐这款，高通骁龙888的处理器，12+256的内存，对于不玩游戏的我来说够用了，充电速度很快，拍照也很清楚，还能下载自己喜欢的主题、字体、铃声，简直就是完美，京东发货速度很快，1号付尾款2号下午就到了，?！,1
45,电子产品这价格跟坐过山车?一样，就离谱,0
46,外形外观：外观比之前的12更美观了\n拍照效果：拍照特别的清晰\n运行速度：运行流畅，\n待机时间：待机时间较11和12来说有了很大的提升\n其他特色：摄像头做了改变,1
47,刚买不到半个月就掉几百块，,0
48,外形外观：很趁手\n屏幕音效：很亮\n拍照效果：很清晰\n运行速度：超快\n待机时间：充电很快，用电还可以，打游戏四个小时，听歌一天都没问题。\n其他特色：变色效果太赞了,1
49,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐细节非常完美，整体来说真的很不错。性价比很高，下次还会继续光顾！?非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！?非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！,1
50,手机不错，忠实的iPhone用户，这次直接从6s升级到了13，外观刚开始不习惯，不习惯刘海，用了一下发现刘海也没啥影响，屏幕真的细腻，看不到颗粒，苹果的屏幕素质绝对是手机里的第一梯队，运行速度很快，配合最新的iOS系统还支持了戴口罩解锁iPhone，符合现在的防疫规定，总之，这是手机行业的天花板了,1
51,出现自动关机重启，又不是总有，时不时来一下，,0
52,手机已经收到了，耳机也收到了，京东物流真的很快！,1
53,电池非常不耐用，机身经常忏发热,0
54,说实话，比我想象的好很多，做工精细 尺寸小了但手机看起来十分大气，单手握持很舒服，屏幕显示效果也很棒，另外现在拆封的地方多了一个易撕标签，感觉比较人性化，充电也完全够用了，拍照很快，很满意！,1
55,外形外观：外观很漂亮，摄像头非常好看，拍照非常清楚，真实还原了外景，非常喜欢P50的外观，大气上档次，\n运行速度：运行速度比苹果还要快，真的一级棒\n屏幕音效：屏幕分辨率高非常清晰，音响效果非常棒\n拍照效果：拍照非常清晰\n其他特色：我就是喜欢这个摄像头\n支持华为，支持鸿蒙,1
56,没有送膜也就罢了，好歹也得送个手机壳！,0
57,刚到手，就下载个王者，发烫得着实厉害，使用时还有些卡顿,0
58,通话杂音，正常打电话频繁出现杂音，根本听不清。\n已经排除运营商网络问题，录音下来听也是正常的，应该是扬声器等模块有问题，辣鸡品控,0
59,感觉还行，三星的品质一如既往的OK！拍照效果可以和iphone13差不多，还送了Galaxy buds2 耳机！试了一下无线充电，感觉还是很方便，放在支架上，随时都是满电状态！,1
60,白色很好看，\n外形外观：外观很好看，13香哈哈哈哈还是不错的，比12厚一点点，没啥瑕疵，安全下车，京东还是值得信赖的。我之前的手机平板也都是京东自营，觉得质量都不错。,1
61,外形外观：外观很不错，很喜欢的橙色，很亮眼也很耐看\n\n屏幕音效：双扬声器设计，立体感很强，环绕效果\n\n拍照效果：拍照效果真的很不错，非常清晰细腻，也很自然\n\n运行速度：日常玩原神和崩崩崩，一点问题都没有\n待机时间：新手机待机时间都很不错,1
62,机器刚到，买猴机没买到，预约了neo5，没想到这么快就到货了，vivo系统之前没用过，开应用都挺流畅的，照相比我米八好使反正，也不是太懂，这个背部确实挺好看，先给个五星\n外形外观：满意\n拍照效果：满意,1
63,刚买一个月，手机直接发烫死机，开摆了?,0
64,买完之后才告诉我，手机与电脑连接的线居然还要我额外自己买，官方标配居然不配，开什么玩笑，穷死了吗,0
65,外形外观：全面屏，外形非常喜欢，后盖设计非常漂亮\n屏幕音效：屏幕素质很高，音效特别好，而且音量比一般的手机还要大一些，这一点非常满意\n拍照效果：拍照很清晰，拍远处的风景可以放大20倍，这功能很棒\n运行速度：运行速度特别快，几乎没有延迟\n待机时间：待机时间还可以，连续玩游戏无法坚持一天，只要不重度使用，一天没有问题\n其他特色：最大特色就是充电特别特别特别快，半小时之内肯定充满，快到超乎你的想象,1
66,外形外观：非常nice传奇版yyds！\n屏幕音效：感觉是声音是立体的，非常炫酷\n   终于用到KPL比赛用机了AG超玩会永远的神一诺徐必成给我冲！挺快的手机，充电嘎嘎快，赠品超多有耳机，背包，还赠了手柄非常棒，这个价钱非常nice了！玩游戏非常体贴有语音提示。妈妈再也不用担心我玩游戏被骂了！骁龙888棒棒??,1
67,外形外观：外观设计时尚\n屏幕音效：屏幕灵敏，音效很好\n拍照效果：拍照清晰，美化智能\n运行速度：运行速度很快\n待机时间：一天一充,1
68,拿不习惯，差评，520买的，现在降了600，而且当时价保7天，说23号后买的才价保618，笑屎人，反应以后不会买小米了,0
69,三星的这款手机手感舒适，6.7英寸显示屏提供宽阔视野，8k拍照非常清楚，运行流畅，比较满意。,1
70,用起来很香，鸿蒙系统很nice ，66w充电很快，画个妆的时间就充满了，拍照很好看，很自然,1
71,紫色很好看，看起来确实高贵很多，活动买的，价格便宜差不多一千了，买的256的，运行流畅，电池耐用，电池不发热，玩游戏手感很好，用来直播也很好,1
72,生产日期是2019年的。,0
73,10天左右就降了200元，哎，心情不好,0
74,手机是真的好看，很流畅，旗舰机，就是牛！支持国货，从我开始！,1
75,超出预期，质量很好，做工精细，满意价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味快递很快，质量棒极了，建议购买是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买,1
76,外形外观：延续iPhone12的外形，有棱有角，喜欢这样的。戴个壳，没有硌手的感觉。\n屏幕音效：屏幕很亮，室外显示效果一流，立体声效果很好。音质不错！\n拍照效果：简单易懂，上手随意拍。都出好照片。\n运行速度：苹果系统，速度很好，流畅。\n待机时间：一天足够用！,1
77,外形外观：蓝色的非常好看。\n屏幕音效：声音也很不错啊，非常清新。\n拍照效果：有4K的像素看起来非常清新。\n运行速度：很快没有别的手机能打他。\n待机时间：一天下来够用了，也不用充电了。,1
78,跟官网的售后是两个概念,0
79,手机有卡顿，视频，音乐等,0
80,很不错的一款手机，一直都关注来着，买到手后发现确实很轻巧，而且还是国产鸿蒙系统，给好评。,1
81,收到新手机手机没信号，打电话和信号都很差，无法正常使用，并且发热，性能很差，怀疑是差产品，申请换货，旧手机寄出去，售后说十天处理？十天可以维修好给我寄回来吧？这家店是不是黑店啊？请给我处理好。不要影响华为这个国货品牌。,0
82,手感轻薄 游戏体验极佳 颜值爆表 做工精细 推荐购买 尤其王者荣耀 针对优化非常到位 太好用了,1
83,严重怀疑是组装翻新机，买来用了一个月就出现看电影会自己关机重启，扫不了健康码等问题,0
84,4月15日购机，E卡到现在还不发，已联系客服多次，全是推诿。售后体验极差。,0
85,一星都不想给，完全差评，用了半个月出现手机电池耗电快，刚充完电放着十分钟下去百分之一的电量，找客服，就会说寄回去检测，有问题换新的，寄回去检测路上来来回回好几天我没有手机用，我说线下有检测的我去检测然后有问题了我直接寄过去省时间，查了半天我这里又没有服务中心，，翻来覆去就是这两句话，真的很糟糕的一次购物，从来不给差评，第一次，可想而知有多差,0
86,小米11包装很简洁，比10薄了很多。白色的背面有珠光感，很漂亮。系统很流畅，UI设计很漂亮。拍照效果比10提高了一些。,1
87,被图片的橙色机身深深吸引，很有个性，收到实物与图片一模一样，还送了耳机，充电也很快，使用感不错，运行很快，内存够大，待机时间新机还是够用的，时间长了有待测评，屏幕也很清晰，外观时尚，大小合适，拍照也很清晰，色彩度也不错,1
88,外形外观：很俊朗，很苹果，\n屏幕音效：一流，\n拍照效果：有进步，\n运行速度：很流畅，\n待机时间：很长\n其他特色：很苹果,1
89,完美打游戏也不烫，充电秒冲。性价比超高！值得拥有！,1
90,外形外观：屏幕很合适，白色的很好看\n拍照效果：拍照清晰，但是有点锐化\n运行速度：系统运行超好，不卡\n待机时间：充一次电能用整整一天，用快充头半小时就能冲的差不多了，很好,1
91,不愧是游戏手机就是好用，充电快，也有点烫手的，游戏画质高了就发烫，不过我不常玩，拍照功能好，我喜欢。玩游戏功能性强，总体就我的体验来说我比较佛系，很适合我，京东物流非常快，给力,1
92,这苹果手机就是轻薄，用起来手感特别好，尺寸也正合适女生用，放包里也正正好，背起来也不重，而且出门拍照，离不开这手机，这手机像素太好，拍出来的景特别好看，特别真实。,1
93,发货特别快，包装完好无损。\n买来不久就涨价了，而且缺货，很值。\n手机辨识度特别高，屏幕显示清晰，拍照特别棒哦，虽然是4g手机，但是日常使用网速特别快。\n搭配鸿蒙os系统运行流畅，中度使用一天一冲。\n值得购买，全五星好评。,1
94,气死我了，一星都不想给，老子才买来打不开卡槽这是怎么回事！！！,0
95,小米11的蓝色款，很漂亮，阳光下折射不同的颜色，时尚耐看。2k屏幕平时看真的很爽，细腻画质保真，就是很费电。音质清脆动听，双x线性马达，打字震感反馈很爽。充电55w有线和50w无线速度都很快，平时基本随用随充，不用过多等待。首发的骁龙888有点翻车，功耗太大，打原神手机cpu都飚到88度了，可真是888。。希望后期通过系统优化更新能改善这一问题。,1
96,6月中旬买的，今天7月8日，手机卡死了，不是第一次出现，只是今天最严重，不要买，太次了。,0
97,产品频繁出现质量问题，而且得不到解决。发语音听不清楚，第一次给我换了新手机，新手机没用几天又是同样问题。商家居然检测没有问题。退货又退不了。,0
98,还说什么，没的说屏幕就是大，刷屏就是快，那这就是霸气，你不服你也来个试试，保证你爱不释手。,1
99,原来保价只能跟自己比，比别人买的贵那不是买贵了，卖你就就个价跟卖别人多少无关，这就是保价服务的真实体验&hellip;&hellip;,0
100,刚买几天就降价、能不能给个说法,0
101,外形外观：曲面屏，磨砂手感特别好\n屏幕音效：很不错噢\n拍照效果：特别要说一下拍照效果，很多朋友都说我的拍照技术提高了其实是换手机了  哈哈哈\n运行速度：三千以下的手机里算好的了\n待机时间：听歌可以听一整天，玩游戏随便玩几个小时,1
102,还不错，送给朋友做生日礼物，朋友很喜欢，送了一个后盖壳，屏幕贴膜已经贴好了，喜欢的集美可以入手啦&hellip;&hellip;,1
103,快递已经收到，快递的速度非常快，包装没有损坏，没有磕碰，完好无损，给送货员满分。手机特别流畅，华为的高端手机，体验感实在好，虽然只有四g信号，但是速度很快。。。,1
104,手机收到了，华为一如既往的好，手机流畅度不输苹果，\n外形外观：非常漂亮\n屏幕音效：音效很好\n拍照效果：很清晰\n运行速度：很快，很流畅\n待机时间：用了几天目前电池耐用度还可以\n总之很满意,1
105,运行速度很快，手感也好，掉电也很快，还好充电快，新系统有点使用不习惯，通知栏全部禁了，还是有弹奏起声音，捆绑软件一个都没用，还要个个删除！,0
106,发货速度很快，昨天付的款今天就收到了，给力。手机不错，我一直用IQOO手机。,1
107,"从1G开始就用三星手机，经历了2G,3G,4G,5G。三星手机辉煌依旧，而当时的摩托罗拉，爱立信，诺基亚很难寻踪影。三星手机的颜值、音频、视频、拍照等功能更胜一筹，它的手机接收灵敏度更是优中更优。在电梯、地下停车场、信号接收依旧。",1
108,手机壳很棒，用上觉得很厚实。,1
109,iQOO系列从刚出来第一款就在关注了，因为一直喜欢打游戏，王者荣耀，吃鸡都玩，要想操作好，设备少不了，一直到最近上个手机突然坏了，毫不犹豫就换了iQOO8，这手机用起来非常流畅，玩游戏必备，最主要是大品牌保修方便快捷！安心值得信赖！！！,1
110,外形外观：iPhone13星光色就是白色，很耐看。\n屏幕音效：屏幕黑边小了，音质也有很大提升。\n拍照效果：拍照效果很好，防抖。\n运行速度：运行速度很丝滑流畅。\n待机时间：待机时间比我之前的好了许多。,1
111,说好的差价1-3到帐，等了那么久还是没有到帐。垃圾,0
112,差评网络不稳定上一个用的华为都没事这个打王者不管无线还是自己网络都太不稳定了,0
113,很好看的一款手机 直屏设计，73.8mm的宽度因为比较薄的机身并没有显得很突兀，手机重量只有181g，较轻薄的设计，拿惯200多g的手机之后，感觉这个特别的轻薄。P系列的照相一直都很优秀 就是没有5G不过也不怎么用，鸿蒙系统还是很流畅 \n 满足拍照的 手机流畅 又是非曲面屏 很不错了,1
114,待机时间：一般，重度管不了一天，轻度管一天，没有国产充电快，没有ov电池耐用，手写笔不该在左边，很不方便\n机身比较厚，摄像头那里更厚。\n外形外观：一般\n拍照效果：还可以，并不是很牛，好像和国产高端没有啥区别\n运行速度：没有感觉,0
115,物流超快，手机也比我想的要轻薄不少，充电速度超级快！iqoo9非常满意的一次购物！,1
116,买给家里人的，到手半个月内就有接电话卡住的问题，碰上春节期间想着换了没得用，春节后问就让去店里修了。订单上写的180天只换不修跟玩儿似的,0
117,手机可以，不喜欢售后,0
118,现在才来评论，浪费了之前评论有奖励的几百个京豆，之前没时候，现在有时间就没有额外的京豆了，纠结了很久年前就想买的，因为还在对比中所以一直没确定好哪款，放假购物车两年就，终于可以买回来了，我就是看到这个颜值才买的这款手机，太漂亮了之前也用过一步vivo的，音乐很棒的，所以这次选的对的不管是声音还颜值还是各方面都棒棒的，这次选的直屏的因为有款去瓶的了,1
119,发热，卡顿，间歇性断流,0
120,才买10来天就降价300，10%了 差评,0
121,太垃圾了，电量看着往下掉 ，关键我还什么都没做  果然是尿频手机  充电也慢  总之不值这个价格  我踩了坑  不建议大家买,0
122,京东购物这么久，一是服务，二是速度，三是品质。\n几乎每年都在京东上买手机，每年都换新电话，这款电话真的不错，充电超级快，反应速度非常快，屏幕也清新，最主要他的系统操作很便捷非常不错，第二次买了，主要为了打王者哈哈,1
123,外形外观：6.1的屏幕很舒服，手感很好，很轻，比我之前的手机轻多了，很舒服\n屏幕音效：屏幕很清晰，最低和最高亮度很给力\n拍照效果：一般吧像素感觉没那么好高\n待机时间：不打游戏充满电能干一天，我不打游戏,1
124,刚买半个月就降价200，也不退差额,0
125,手机一般般，掉电快，快到怀疑人生，客服态度不好。\n运行速度：一般,0
126,外形外观：真机外观比图片的看起来更惊艳得多，对比去年的Neo3后盖的设计真的是有质的提升，以前总觉得neo系列没啥设计，现在从neo5开始真的改变很大，真的很喜欢这个摄像头矩阵的家族设计。\n拍照效果：夜景拍照真的是被惊艳到了，人眼几乎看不见的地方给拍得很亮，对比我的红米k20Pro真的是被秒杀了，这应该得益于光学防抖的长曝光的作用，超广角也支持超级夜景这个真是爱摄影人的**，虽说这颗主摄不算特别优秀，但在这个级别里应该算得上优秀。其他相机方面的功能待进一步体验发现。\n\n运行速度：120hz流畅得一逼，就是不知道长时间使用下来耗不耗电，待体验一段时间之后才知道。\n其他特色：新的origin os真的被惊艳到了，画面用华丽精美来形容真的一点都不为过，反观小米的miui近年来就有点保守了，主题免费后质量明显下降。\n\n屏幕音效：屏幕开启DC调光屏闪明显改善，但是还是能看到一点点闪烁。显示效果没有自适应功能，对比红米k20pro就有这功能。屏幕整体显示效果还是挺不错的。音质方面待考察。,1
127,不怎么样，感觉屏幕偏黄。,0
128,外形外观：金属材质外壳很有质感，手机大小合适，复古的样子.. 方方正正有点像老一代的苹果！很有分量感！\n屏幕音效：屏幕大，看电影很给力，清晰度高！\n拍照效果：清晰，夜景拍摄给力！\n运行速度：一如既往的流畅,1
129,差评，没有配送充电器,0
130,非常好，非常漂亮\n外形外观：漂亮\n屏幕音效：好\n拍照效果：非常不错\n运行速度：快\n待机时间：可以\n其他特色：客服态度非常好，值得购买。一如既往支持苹果。,1
131,才十天左右就卡死了两次了,0
132,购物体验非常差，新手机屏幕竟然有问题。有时候点击没反应，打个游戏屏幕就跟动态图片一样直接跳，眼镜都看花了。***，退换货又得一个礼拜没手机用。操。,0
133,1.说好的返京东E卡，结果时间到了一直没有，沟通了好多次，店家推来推去，说是京东搞的，最后又说下单后没有及时和店家报备，浪费好长时间，不想返就别搞这些；2.三星手机活动一天一变，下单后没有两天返300京东E卡又变成返500了，结果我的300还没有收到，别人500的都下来了，无语。,0
134,手感极其丝滑，充电半个小时充满，反应很快。看动漫，立体声很带感。目前用着很爽。,1
135,今天刚拿到手机，就迫不及待打开了，大小合适，握在手里很舒服，昨晚下的单，中午就到货了，京东这速度没的说。\n外形外观：外观好看，大小适中。很精致的一部手机\n运行速度：很流畅，最新一代骁龙处理器\n我买的蓝色很好看，这是给媳妇买的，瞬间觉得自己手里的小米11pro不香了，哈哈！！！,1
136,比较失望，发热确实严重。电量确实不咋地，用一天没问题，当然速度下来的快，让人心里没底。特别忧虑。主要还是说发热，太容易烫了。总之，这个不是机皇。一代不如一代。,0
137,特意用了几天来评论，续航能力强，充电快，看视频打游戏非常流畅可能是刚到这几天出现掉帧情况后面多用了几次就没有了充一次电能用个大半天打游戏如果刷视频看电影刷小说可以续航一天不夸张的说亲自测评过体验感很好拍照相素体验感不错,1
138,游戏体验很好，充电贼快，真的是18分钟充满！！！！,1
139,我是华为用户p30pro用户，但是这款买给我老婆的华为p50真的是太垃圾，一用就发烫，就是纯用~就发烫。耗电也快。不推荐购买,0
140,s22已到手，试用几天，性能没的说，配置到了都是飕飕的快，外观太惊艳了，工业设计精美，单轮颜值，秒杀其他所有（纯个人感觉）把玩着有点爱不释手，\n感觉好极了。,1
141,用了一段时间来评价的，手机整体使用感很好，颜值在线，拍照效果很棒，尺寸很适合手较小的人，之前用别的手机老是点不到另一边，电池容量比别的手机小了一点但是够用,1
142,手机触摸很跟手，流畅，系统功能强大，购买了2台IQOO NEO 5我觉得真的是正确的选择。,1
143,虚假宣传，就说充电这块就不真实，反正19分钟我是没有充满，从百分之五到百分之百我用了43分钟，原装充电器加灭屏充。百分之百虚。,0
144,网购这么多年来体验最差的一次，购买前客服说这款手机是送充电器的，不用额外购买，下单第二天手机是收到了，并没有收到充电器，联系华为客服，华为客服说是京东物流的问题让联系京东物流，联系京东物流，只会回复我抱歉，正在采购中，22号才会到货，到货一到两天入库后可以尽快安排发货，让我找同事借充电器充，气的不行了，有这样的吗,0
145,外形外观：好看\n拍照效果：巴适\n待机时间：不够长\n运行速度：很快哦,1
146,"拍照效果:高清通信音质:清晰快递很快,隔日就到了,上手手感很好,以为会发热,其实并没有,比我的米9好很多,主要是电池大,够玩一整天,太棒了运行速度:非常快显示效果:完美清晰,2K屏很清晰，高刷很丝滑不卡顿，电池持续亮屏状态重度使用能坚持个5小时以上，67w快充，速度极快，20%充电至满电仅40分钟。后盖颜值担当,手感很好,值得推荐。",1
147,我买的黑色的，高端大气上档次，华为值得拥有，一直在这家买的整体来说还可以????????????????????????\n外形外观：耐看\n屏幕音效：很好\n拍照效果：很好\n运行速度：快,1
148,紫色很漂亮，运行也很流畅。给妈妈买的，她觉得这个手机很好用。,1
149,外形外观：note硬朗的风格\n屏幕音效：三星旗舰的屏幕不用质疑，AKG调教的音质非常棒\n拍照效果：拍照一直就是三星的强项\n运行速度：比我之前note9快多了\n待机时间：三星的续航一直是短板,1
150,还没一千多的手机反应快，水印相机卡顿一分钟反正，腾讯视频卡顿等等，要么就是京东自营店卖假货,0
151,非常差的手机，拍照连人像都看不清楚，垃圾,0
152,由小米换到华为，华为系统真好用，特别是鸿蒙互联那就是生产力。官网太难抢京东一直很给力，物流到货快，这次一次下单2台，媳妇的手机和我的手机一起换了,1
153,新买的充电器是花的，手机包装拆了后包装。非常的差,0
154,垃圾！收到屏幕就是坏的，退货流程异常漫长！已经十多天了还没走眼流程,0
155,开箱拿出来边上就是磨了的，找客服找不到,0
156,外形外观：非常赞，白色的机器带上了我的壳之后更加完美\n屏幕音效：屏幕很亮，很鲜艳，音响也很好\n拍照效果：一流，很喜欢用它拍照\n运行速度：快，流畅\n待机时间：一般，没觉得很耐用\n其他特色：总体还可以，信号不如我的国产安卓,1
157,外观设计漂亮，尺寸大小合适，，宝贝手感不错，感觉很好，给力！5星好评！支持下。,1
158,充电器都不带 我不知道是个什么情况 要不就提前都写明白了 本来就疫情等了半个多月 到了没有充电器 苹果模式吗？ 退费,0
159,纠结了好久终于到手了，一开始想买苹果13的但是13好像不怎么稳定，综合各个方面感觉还是iqoo9比较合适，iqoo 手机一直以来都是性价比很高，全新的系统运行很流畅，外观很漂亮！拿在手里感觉还不错！新一代骁龙8处理器运行速度飞快，屏幕显示很好！很值得拥有！很开心的一次购物！,1
160,苹果手机的系统还是非常流畅的了，玩了些日子，手机各方面还是很不错的了，玩游戏非常快的了，手机拍照也是可以的了，照片清晰度高，手机要自己买充电器不好。,1
